condition_id,condition_slug,description,item,score_0_100,affected_segment_count,affected_rate,affected_rate_pct,affected_rate_95ci_low_pct,affected_rate_95ci_high_pct,issue_count,issue_counts,severity_counts,checked_messages
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,qt_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,brace_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,printf_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,html_xml_entity,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,html_xml_tag,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,number,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,newline,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C3,C3_mask_noods_3cand,no-glossary ablation: mask + no ODS + 3 candidates,accelerator,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,qt_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,brace_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,printf_placeholder,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,html_xml_entity,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,html_xml_tag,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,number,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,newline,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
C4,C4_mask_ods_1cand,no-multi-candidate ablation: mask + ODS + 1 candidate,accelerator,100.0,0,0.0,0.0,0.0,3.6995,0,{},{},100
